Data,Time
0,432
10,422
20,451
30,498
40,510
50,552
60,577
70,592
80,605
90,676
100,669
110,694
120,718
130,861
140,784
150,791
160,842
170,832
180,868
190,889
200,910
210,940
220,992
230,993
240,1017
250,1053
260,1068
270,1096
280,1129
290,1148
300,1185
310,1215
320,1235
330,1254
340,1313
350,1328
360,1377
370,1412
380,1394
390,1417
400,1447
410,1472
420,1528
430,1547
440,1550
450,1566
460,1590
470,1639
480,1656
490,1682
500,1726
510,1737
520,1802
530,1782
540,1827
550,1847
560,1928
570,1873
580,1941
590,1964
600,1985
610,1998
620,2032
630,2050
640,2111
650,2110
660,2134
670,2154
680,2207
690,2226
700,2251
710,2269
720,2294
730,2321
740,2353
750,2374
760,2393
770,2436
780,2433
790,2539
800,2552
810,2521
820,2578
830,2578
840,2612
850,2647
860,2682
870,2689
880,2719
890,2755
900,2774
910,2821
920,2868
930,2851
940,2898
950,2891
960,2929
970,2955
980,2987
990,2983
1000,3078
1010,3055
1020,3072
1030,3156
1040,3124
1050,3175
1060,3194
1070,3217
1080,3279
1090,3279
1100,3276
1110,3315
1120,3370
1130,3368
1140,3475
1150,3428
1160,3471
1170,3492
1180,3506
1190,3635
1200,3612
1210,3619
1220,3623
1230,3638
1240,3646
1250,3697
1260,3699
1270,3753
1280,3770
1290,3771
1300,3847
1310,3842
1320,3899
1330,3883
1340,3921
1350,3995
1360,3983
1370,4006
1380,4057
1390,4066
1400,4133
1410,4139
1420,4215
1430,4272
1440,4173
1450,4207
1460,4319
1470,4295
1480,4349
1490,4316
1500,4362
1510,4448
1520,4405
1530,4438
1540,4468
1550,4451
1560,4512
1570,4545
1580,4556
1590,4576
1600,4580
1610,4654
1620,4644
1630,4690
1640,4730
1650,4801
1660,4780
1670,4802
1680,4835
1690,4852
1700,4881
1710,4930
1720,4959
1730,4915
1740,5242
1750,5448
1760,5414
1770,5293
1780,5112
1790,5147
1800,5182
1810,5565
1820,5577
1830,5376
1840,5632
1850,5403
1860,5590
1870,6939
1880,5369
1890,5468
1900,5473
1910,5452
1920,5431
1930,5458
1940,5612
1950,5819
1960,6364
1970,6593
1980,5947
1990,5675
2000,5645
2010,5843
2020,5709
2030,5781
2040,5744
2050,5816
2060,5842
2070,5830
2080,5892
2090,6057
2100,5968
2110,6320
2120,6237
2130,6624
2140,6581
2150,6668
2160,7038
2170,6713
2180,6440
2190,6192
2200,6128
2210,6151
2220,6498
2230,6680
2240,6456
2250,6368
2260,6378
2270,6370
2280,6393
2290,6455
2300,6468
2310,6509
2320,6649
2330,6538
2340,6519
2350,6631
2360,6553
2370,6631
2380,6705
2390,6846
2400,7200
2410,7058
2420,7507
2430,7333
2440,7052
2450,7214
2460,7303
2470,7247
2480,7292
2490,7350
2500,7566
