Data,Time
6580,479
6590,548
6600,471
6610,475
6620,472
6630,472
6640,486
6650,472
6660,492
6670,480
6680,488
6690,494
6700,500
6710,769
6720,571
6730,557
6740,547
6750,550
6760,575
6770,521
6780,586
6790,552
6800,556
6810,561
6820,549
6830,513
6840,482
6850,500
6860,501
6870,523
6880,474
6890,514
6900,499
6910,506
6920,522
6930,505
6940,526
6950,563
6960,489
6970,668
6980,500
6990,540
7000,485
7010,482
7020,538
7030,501
7040,475
7050,507
7060,500
7070,551
7080,524
7090,555
7100,521
7110,582
7120,553
7130,549
7140,523
7150,559
7160,519
7170,504
7180,542
7190,507
7200,510
7210,552
7220,512
7230,527
7240,535
7250,521
7260,522
7270,577
7280,581
7290,511
7300,557
7310,500
7320,563
7330,521
7340,524
7350,503
7360,642
7370,527
7380,519
7390,583
7400,545
7410,583
7420,537
7430,566
7440,597
7450,509
7460,546
7470,499
7480,543
7490,510
7500,502
7510,498
7520,475
7530,486
7540,545
7550,534
7560,508
7570,569
7580,684
7590,553
7600,483
7610,520
7620,497
7630,487
7640,474
7650,510
7660,498
7670,489
7680,540
7690,482
7700,482
7710,506
7720,490
7730,521
7740,491
7750,483
7760,477
7770,530
7780,650
7790,476
7800,495
7810,473
7820,539
7830,504
7840,475
7850,518
7860,484
7870,536
7880,545
7890,535
7900,528
7910,475
7920,480
7930,482
7940,474
7950,473
7960,471
7970,485
7980,529
7990,492
8000,494
8010,488
8020,486
8030,519
8040,497
8050,478
8060,473
8070,542
8080,483
8090,482
8100,479
8110,476
8120,472
8130,524
8140,473
8150,476
8160,487
8170,502
8180,522
8190,488
8200,488
8210,487
8220,474
8230,505
8240,532
